date,equity_backtest,equity_paper,diff,ratio
2024-08-03,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-04,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-05,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-06,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-07,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-08,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-09,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-10,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-11,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-12,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-13,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-14,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-15,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-16,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-17,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-18,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-19,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-20,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-21,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-22,70468.37455548729,75109.82131842332,4641.44676293603,1.065865670837651
2024-08-23,70468.37455548727,75109.82131842332,4641.446762936044,1.0658656708376513
2024-08-24,70449.00172933738,76256.60789360231,5807.606164264929,1.0824370256739415
2024-08-25,69423.95778686382,74115.91243810634,4691.9546512425295,1.0675840848147429
2024-08-26,66819.69461539041,71332.35531951445,4512.660704124035,1.0675348896773413
2024-08-27,62799.78506139786,67042.19523895376,4242.410177555903,1.0675545334017975
2024-08-28,62156.56729441639,66364.8049294607,4208.2376350443155,1.0677038295102623
